Date,School,Grade,Did you complete a hands-on program on your visit today?,Tour?,Hands on Program,Stimulate an interest in science among your students?,"Improve your students’ appreciation of math and/or 
science as useful tools?","Reduce your students’ fear and anxiety around tools 
of math & (physical) science?",Change your students’ attitudes towards experimental failure?,Stimulate your students’ curiosity?,Make science and engineering more relevant for your students?,What was the best part of the Hiller Aviation Museum HANDS-ON program?,How could the HANDS-ON program be improved?,What was the best part of the Hiller Aviation Museum TOUR experience?,How could the TOUR experience be improved?,What was the best part of the Hiller Aviation Museum experience?,How could the experience be improved?,"Are you likely to bring students to a Hiller Aviation 
Museum hands-on program again?",Explain:,"Permission to use comments for promotional or 
marketing materials? Yes if blank.",Instructor,Tour Guides,Notes ,Cleaned_Grade,Row_Average
2024-12-09,Stratford School - San Bruno,12,y,y,Flight and Motion,Y,Y,Y,Y,Y,Y, The best part is when the students can physically involved in the activity,The hands on program is already ding good forkids.,Very informative and stimulating the mind of our students in learning more abut aviation,Tjey are all doing a great job.  Kudos!,"It is informative, organized and child friendly",You can use a Hiller mascot to welcome tje students,y,Absolutely,,,,,[12],12.0
2024-12-10,Ponderosa Elementary,4,y,,Flight Simulator lab,y,Y,Y,Y,Y,Y,Hands-on,Wonderful,,,"Everything hands-on, simulation, and going inside a plane",Two Thumbs up,y,100% awesome,,Abogail,,,[4],4.0
2024-12-10,Ponderosa Elementary,4,Y,,Flight Simulator lab,y,y,y,y,y,y,All the different simulators,,,,,,y,,,Abigail,,,[4],4.0
2024-12-10,Ponderosa Elementary,4,y,,Flight Simulator lab,Y,Y,Y,Y,Y,Y,They had fun flying and working together,none,,,Everything was great.  Students had fun.  Educatinal and interesting,,y,,,Abigail,,,[4],4.0
2024-12-10,Bishop Elementary,2,y,,Amazing Aircraft I,Y,Y,Y,Y,Y,Y,My students loved building the planes.  I loved that tere was extra focus on the parts of the plane.,,"We could have more hands on elements earlier.  Tje presentation was interesting, but 45 minutes is tough for young ones",,Our students loved it,,y,You all did such an amazing job,,"Aidan, Vivian",,,[2],2.0
2024-12-10,Bishop Elementary,2,y,,Amazing Aircraft 1,y,y,,,y,y,Making and testing the plane,More engaging presentations,,,Exploring,,y,,,"Aiden, Vivian",,,[2],2.0
2024-12-10,Bishop Elementary,2,y,,Amazing Aircraft 1`,Y,Y,Y,N,Y,Y,The hands on experience was engaging and gave my students a chance to interact with STEM concepts in a unique way,There could be more opportunities for students to experience failuer and retry their projects to encurage problem solving.,,,The best part was gimg inside the big plane outside (my stdents loved ir)Exploring the curated airplane exhibits which captivated the students and sparked curiosity.,"Overall the experience was good.  Perhaps by incorporating more interactive elements would make it even more impactful for students,",Y,The museum provided a unique educatonal experience that aligned well with STEM learning objectives,,"Aidan, Viivian",qq,,[2],2.0
2024-12-10,Bishop Elementary,2,y,,Amazing Aircraft 1,Y,Y,Y,Y,Y,Y,Building the airplanes,"We were the secong group and the program ran behind.  Interaction with students, answering wuestions, student responses.",,,"Fre exploration. Every worker was so nice, welcoming and helpful",,y,,,"Aiden, Vivian",,,[2],2.0
2024-12-12,Southgate Elementary,4,y,,Flight Simulator Lab,Y,Y,Y,Y,Y,Y,Flying the paper airplanes,More activtes,,,Good,,y,,,Aidan,,,[4],4.0
2024-12-12,John F. Kennedy Elementary,k,y,,Amazing Aircraft I,Y,Y,Y,Y,Y,Y,Building airplanes,Less fragile materials,,,Lots of interactive stuff,all great,y,"Generous grant.  Lots to do, good for a variety of ages.",,,,,[],
2024-12-12,Southgate Elementary,4,y,,Flight Simulator Lab,Y,Y,Y,Y,Y,Y,Allowing students to have a variety of hands-on experiences without limitations,Having outdoor hands-on activities.  Having drone plex open.  They were really looking forward to it.,,,The amunt of exhibits and experiences,Having placcards and information without difficult vocabulary words to compliment the original placard ,y,This was aneducational and memorable experience. ///this was great for the ages that we brought.,,Aidan,,,[4],4.0
2024-12-12,John F. Kennedy Elementary,k,y,,Amazing Aircraft I,Y,Y,Y,Y,Y,Y,The students enjoyed the paper airplane launcher and the glider coloring activity.  They liked sitting in the varous cockpits,This was super fun.  thank you,,,The exhibits were very detailed and thank you for having a place to play,It was perfect,y,qThank you for a wonderful first time field trip for my kindergarteners.,,Vivian,,,[],
2024-12-13,The Hamlin School,4,y,y,ADC Helicopters,Y,Y,Y,Y,Y,Y,"The design challenge was super fun. Also they dont get a lot of experience with ""failure"" or healthy competition.  So good",Nada,"Aidan was amazing.  Knowledgeable, funny, kind, encouraging.  We love the flight simulator.",Nothing.  Everything was very well timed for  interest and attention span. ,,,,,,Hannah,Aidan,,[4],4.0
2024-12-13,The Hamlin School,4,y,y,ADC Helicopers ,Y,Y,Y,Y,Y,Y,"The simulator, making the helicopters, and tour, All was great",,Great info.  Short.  incorporated influential women.,none,Already said.,none,y,Great fun experience.,,Hannah,Aidan,,[4],4.0
2024-12-17,Mariano Castro Elementary,2,y,,Amazing Aircraft,Y,Y,N,N,Y,Y,Making the planes,A shorter talk before the hands on part.,,,The large plane outside,A few more activities in the gallery,y,This is a great field trip,,Dolan,,,[2],2.0
2024-12-17,Campbell School of Innovation,5,y,y,ADC Helicopters,Y,N,,,,,Good design sprint - Fun,Shorter testing/competition.  Too long at end of sprint.,The tour guide was super kind and very knowledgeable.  Kept kids engaged.,Quicker stops at each portion so more can be seen,Easy day.  Good for students,,y,,,,Abigail and /vivian,,[5],5.0
2024-12-17,Campbell School of Innovation,5,yy,y,ADC Helicopters,Y,Y,Y,Y,Y,Y,Daign Challenge,written directions available in Spanish for our Spanish speaking students,Seeint the models,,Flight Simulator.  Carl was amazing and so friendly,,y,,,"Aidan, Vivian, Abigail, Carl",,,[5],5.0
2024-12-17,Campbell School of Innovation,5,y,y,ADC Helicopters,Y,Y,Y,Y,Y,Y,Students enjoyed a simulator and watching their projects be tested,"The testing part of the competition took too long,",Seeing all the air crafts and learnig  how they work.,It was difficult to hear our tour guide.  Mics would be very helpful,The design challenge and design testing.  /students enjoyed watching their creations get tested.,Not enough time for breaks/snacks/ food.  Students need time to eat and fuel up.,y,The design competition was great.,,,,,[5],5.0
